,Price,Time,Decision
0,73.90000000000063,1.26,SR
1,73.80000000000062,1.51,SR
2,73.80000000000062,1.76,SR
3,72.0000000000006,2.01,SR
4,58.90000000000041,2.26,RS
5,60.10000000000043,2.26,WS
6,72.0000000000006,2.26,SR
7,49.90000000000028,2.51,RS
8,60.10000000000043,2.51,WS
9,72.0000000000006,2.51,SR
10,49.90000000000028,2.76,RS
11,60.10000000000043,2.76,WS
12,72.0000000000006,2.76,SR
13,30.900000000000013,3.01,WS
14,43.20000000000019,3.01,RS
15,60.30000000000043,3.01,WS
16,71.9000000000006,3.01,SR
